"","X","eff.mon.initial","eff.mon.final","eff.inf.initial","eff.inf.final","fut.mon.initial","fut.mon.final","fut.inf.initial","fut.inf.final","phat.initial","phat.final","ss.initial","ss.final","post.mean.initial","post.mean.final","cov.initial","cov.final","idx"
"26",1,0.0142,0.01272,0.02052,0.02024,0.71296,0.69856,NA,NA,0.39730242481203,0.398757893440506,102.62348,107.02324,0.408990897983914,0.408444822169866,0.97392,0.97204,123
"27",1,0.0166,0.01292,0.02244,0.022,0.72268,0.69692,NA,NA,0.396844880952381,0.398222142964267,102.23296,107.1216,0.407274315208555,0.407928538574995,0.96728,0.96812,124
"28",1,0.015,0.01324,0.02156,0.02124,0.70936,0.6948,NA,NA,0.397666270250368,0.399144538778639,103.471,108.01584,0.407833657390429,0.408571776996342,0.96992,0.96988,125
"29",1,0.01664,0.0136,0.02236,0.02184,0.7182,0.6916,NA,NA,0.398119285714286,0.399524039178948,103.35864,108.26672,0.408171619645034,0.408832755979438,0.97096,0.96908,126
"30",1,0.01508,0.01348,0.02176,0.02152,0.70916,0.69596,NA,NA,0.398042633477633,0.399372050169474,104.43504,109.04336,0.408018418094498,0.408629445615722,0.9678,0.96904,127
"31",1,0.01492,0.01212,0.02088,0.0204,0.71584,0.69164,NA,NA,0.398730985714286,0.399760855355843,104.4568,109.38744,0.40984345685842,0.408877646061177,0.97148,0.97012,128
"32",1,0.01604,0.01156,0.02168,0.02068,0.71288,0.70024,NA,NA,0.398149204384724,0.399373166388021,105.345,110.0228,0.407982787078099,0.408516421427707,0.9718,0.97028,129
"33",1,0.6426,0.46928,0.67236,0.654,0.06752,0.03844,NA,NA,0.537463516854014,0.52855331656053,77.47664,82.81212,0.535461267316627,0.528826018139113,0.89132,0.91628,12
"34",1,0.015,0.01296,0.0208,0.02064,0.72168,0.69776,NA,NA,0.397813977591036,0.399022992894246,105.484,110.39748,0.407650648008572,0.40817028324338,0.9686,0.96924,130
"35",1,0.016,0.01208,0.02192,0.02084,0.70788,0.69544,NA,NA,0.3988304889043,0.400065648521043,106.44952,110.95656,0.408451869700663,0.409018420474438,0.96984,0.97052,131
"36",1,0.0132,0.01164,0.01992,0.01964,0.7216,0.7,NA,NA,0.398550137362637,0.399617255866945,106.70144,111.2642,0.408121818476759,0.408588574651564,0.97256,0.97072,132
"37",1,0.0144,0.01236,0.01996,0.0194,0.70784,0.69808,NA,NA,0.398956571428571,0.399820337069567,107.59812,111.58544,0.408382554822252,0.408723311180661,0.97036,0.972,133
"38",1,0.0128,0.01192,0.01952,0.0194,0.71676,0.7002,NA,NA,0.399010579514825,0.399894095433829,107.96728,111.76976,0.408399511987016,0.408781866739821,0.97192,0.97144,134
"39",1,0.01292,0.01168,0.01896,0.0188,0.71072,0.70248,NA,NA,0.399011512016021,0.399720363319786,108.768,111.90356,0.408293429243081,0.408595225031995,0.96948,0.9738,135
"40",1,0.01392,0.0136,0.02068,0.02068,0.7122,0.69716,NA,NA,0.399610211640212,0.400166926109596,109.27648,111.96088,0.408770324226892,0.409002093600031,0.96984,0.97168,136
"41",1,0.0152,0.0144,0.02128,0.02128,0.7056,0.70076,NA,NA,0.399642837483617,0.400064227661296,110.01316,111.98828,0.408775428004268,0.408940143799935,0.97148,0.97148,137
"42",1,0.01456,0.01236,0.02104,0.02104,0.7144,0.70264,NA,NA,0.399584272727273,0.399861188253188,110.59272,111.9978,0.408609800660141,0.408720958536997,0.96744,0.97092,138
